GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
2307,5,22.0,42,2800,190.7448,0.0093104154,0.0004945092,4,0.0,0.0003069368,0.0045187914,41.6515,53.1774,6.0189,26,0.0023191,7,0.0,1.7052e-05
9213,5,34.0,4,364,77.5512,0.0024476431,0.0004862867,7,0.0001783051,0.0003404007,0.0024962718,31.8431,65.8701,4.974,22,0.00071322,6,0.0,0.0
209,3,20.0,6,150,72.141,0.0012379023,0.000393878,5,1.87560957311e-05,0.0002719634,0.0033760972,45.9164,68.8778,3.7528,24,0.00079713,8,0.0001219146,0.00035637
2958,3,16.0,6,200,91.3188,0.0008968027,0.0001299714,5,2.59942812581e-05,0.0006628542,0.0026644138,34.549,74.6732,6.3512,27,0.0012867,7,0.0001949571,0.00027294
5533,4,22.0,20,800,85.3884,0.0011877017,0.0003809609,3,6.7228397275e-05,0.0001792757,0.0029804589,26.9697,58.0752,5.0827,15,0.0010981,4,0.0,0.00015687
4805,3,24.0,8,225,61.974,6.42054574639e-05,0.0002407705,10,0.0,0.000176565,0.0031139647,48.7668,69.0309,3.7113,18,0.00049759,5,0.0,0.0
1241,6,17.0,6,60,167.1966,0.0073810826,0.0005125752,4,0.0,0.0,0.0035880262,25.1154,44.0381,6.6857,11,0.0016061,3,0.0,0.0
4994,4,22.0,16,800,88.3806,0.0016082628,0.0002747786,7,8.08172237667e-05,0.0008809077,0.0026427232,54.4172,75.1804,5.5933,22,0.0005738,6,0.0,0.0
8159,3,26.0,8,380,109.7904,0.0027507556,0.0007555723,4,0.0,0.0,0.0040139781,36.9912,56.9882,4.3853,20,0.0010507,7,0.0,0.0
3368,6,20.0,10,700,187.1844,0.0044450957,0.0006594373,2,0.0,0.0001953888,0.0043229777,29.881,45.2542,7.0621,26,0.0024912,6,0.0002808714,0.00032972
1858,6,21.0,28,500,168.9336,0.0053129379,0.0003794956,6,4.37879495563e-05,0.0005838393,0.0040430873,21.5942,43.1913,6.5451,20,0.00099253,6,0.0,0.00032111
4931,6,24.0,24,1274,66.5388,0.0023943534,0.0005106441,6,5.67382324906e-05,0.0002723435,0.0027120875,47.1261,78.6109,3.8577,18,0.0011802,6,0.0,0.00022695
8198,4,21.0,12,1000,113.871,0.0006596038,0.0001116253,0,3.0443253775e-05,0.0011568436,0.0044853061,31.102,46.4072,4.543,36,0.0012076,10,0.0,0.0
3166,5,16.0,36,700,90.4704,0.0005489197,0.0001317407,0,0.0001097839,0.0007684876,0.0015369752,19.5362,85.7714,10.8286,15,0.002042,5,0.0,0.0
2442,2,18.0,2,200,78.2244,0.0019381047,0.0002170677,6,0.0,0.0005581742,0.0023257256,48.5638,86.24,5.5733,22,0.0018916,6,0.0,0.0
2058,5,24.0,8,300,128.0394,0.0062574748,0.0004698445,7,7.47479924825e-05,0.0004271314,0.0034490859,32.2981,62.2291,5.226,14,0.00086494,9,0.0,0.00030967
4028,6,26.0,8,730,175.7856,0.0120849677,0.0001795481,5,4.14341749075e-05,0.0006215126,0.00426772,22.2987,46.4078,4.9709,26,0.0011463,8,0.0002347937,0.00013811
1966,2,21.0,18,500,46.4196,0.0012794736,0.0002284774,6,2.2847742643e-05,0.0,0.002216231,69.125,91.134,3.4227,11,0.00093676,5,0.0,2.2848e-05
8812,3,20.0,10,600,143.121,0.0072998688,0.000164042,0,6.56167979003e-05,0.0005905512,0.0020177165,37.5738,97.1707,10.1138,20,0.0017881,5,0.000164042,0.00068898
2791,2,34.0,8,600,73.743,0.0011539366,0.000169048,9,0.0,0.0004924443,0.002410772,62.6667,86.1951,5.75,27,0.00074969,13,2.9399658964e-05,7.3499e-06
6767,5,19.0,24,450,176.6268,0.00399348,0.0005399348,4,0.0001731866,0.0006519967,0.004309291,27.5735,42.9125,6.7589,27,0.0010289,6,0.0003667482,0.0007335
4543,4,22.0,16,250,123.7164,0.0080979809,0.0006812833,3,0.0,9.29022668153e-05,0.0043354391,38.0645,57.4857,3.5357,21,0.00091354,6,0.0001393534,7.7419e-05
4410,4,21.0,24,550,124.6182,0.0029074989,0.0005612932,4,6.73551863493e-05,0.0005837449,0.0034126628,24.3696,55.5395,5.9704,20,0.00098788,6,0.0,1.1226e-05
7810,3,22.0,14,80,52.8882,0.0021778312,0.0002252929,6,5.63232201862e-05,0.0001314208,0.0015582758,35.3659,103.5181,5.0241,12,0.00060078,5,0.0,0.0
302,5,27.0,10,150,164.4894,0.0085015859,0.0005718556,8,3.04989630353e-05,0.000236367,0.0049027083,40.0312,43.3468,4.633,30,0.0008616,9,0.0001906185,0.00056423
7124,4,18.0,42,550,97.5108,0.0026978875,0.0002926953,5,1.2725884449e-05,0.0001399847,0.0039832018,33.9487,54.4153,3.9968,28,0.00089081,5,0.0,0.0
5374,4,22.0,2,80,52.6218,0.0007123614,0.0003367527,10,1.29520256968e-05,2.59040513936e-05,0.0025515491,50.3673,103.8782,3.6853,17,0.00045332,4,0.0,0.0
72,7,17.0,42,10000,212.6022,0.0090397391,0.0006762401,6,0.0011635308,0.0012530331,0.0049524643,24.6117,41.7671,6.6104,45,0.0022773,9,0.0001292812,0.00024862
6301,6,22.0,42,2200,247.9752,0.0188401768,0.0006731248,7,0.0005194767,0.0004243613,0.0046752905,21.8495,41.8529,5.8905,24,0.00057069,6,0.0001316983,0.00023413
1861,6,19.0,36,1800,130.1214,0.0029960855,0.0002408913,8,0.0001505571,0.0008130081,0.0041704306,32.1449,47.3791,5.0794,22,0.0010238,8,0.0001656128,0.0
5748,5,18.0,28,530,88.323,0.0025695061,0.0002403135,4,9.24282756581e-05,9.24282756581e-05,0.0034568175,47.3333,63.1444,4.0695,13,0.0011646,3,0.0,0.0
6305,4,22.0,12,200,91.6206,0.0013618088,0.0003674722,6,5.40400328563e-05,0.0005944404,0.003285634,24.9769,65.9342,4.9046,25,0.00077818,9,0.0,0.0001405
3808,3,16.0,10,480,99.8832,0.002459893,0.0002540107,1,1.33689839572e-05,0.0004812834,0.0036096257,45.71,57.9407,4.5037,20,0.0015642,8,5.34759358289e-05,5.3476e-05
5829,3,19.0,14,400,98.2944,0.0020355292,0.0004794428,10,6.72902227306e-05,0.0001429917,0.0037514299,29.6719,54.583,4.3318,48,0.00080748,7,0.0,0.0
4522,5,19.0,12,600,138.123,0.0062688621,0.0003550506,1,2.21906621694e-05,0.0003994319,0.003417362,56.2085,61.8571,5.8214,28,0.0014091,7,0.0002219066,0.00028848
1679,1,16.0,8,30,54.4656,0.0012234143,0.0001293996,5,0.0,0.0003058536,0.0026115189,64.7783,87.8018,3.6306,22,0.00083522,7,0.0,2.3527e-05
6685,4,26.0,16,750,125.1108,0.0055339596,0.000611885,8,0.0005668934,0.0005488968,0.0034283555,32.4316,68.2205,5.2073,17,0.00073786,7,8.99830831804e-05,0.00020696
6114,3,24.0,14,200,144.6222,0.001645449,0.000335585,5,0.0,0.0013639906,0.0051312029,35.4588,41.7975,4.8439,22,0.0012016,8,0.0,0.0
6979,6,22.0,28,1400,113.868,0.0035473138,0.0001467854,3,0.0,0.0002935708,0.002519816,40.8235,55.1456,7.4563,8,0.0011498,3,0.0,0.00012232
