psoda,pfries,pentree,wagest,nmgrs,nregs,hrsopen,emp,compown,chain,density,crmrte,state,prpblck,prppov,prpncar,hseval,nstores,income,county,NJ,BK,KFC,RR
1.12,1.06,1.02,4.25,3.0,5.0,16.0,27.5,1,3,4030.0,0.0528866,1,0.1711542,0.0365789,0.0788428,148300.0,3,44534.0,18,1,0,0,1
1.06,0.91,0.95,4.75,3.0,3.0,16.5,21.5,0,1,4030.0,0.0528866,1,0.1711542,0.0365789,0.0788428,148300.0,3,44534.0,18,1,1,0,0
1.06,0.91,0.98,4.25,3.0,5.0,18.0,30.0,0,1,11400.0,0.0360003,1,0.0473602,0.0879072,0.2694298,169200.0,3,41164.0,12,1,1,0,0
1.12,1.02,1.06,5.0,4.0,5.0,16.0,27.5,0,3,8345.0,0.0484232,1,0.0528394,0.0591227,0.1366903,171600.0,3,50366.0,10,1,0,0,1
1.12,,0.49,5.0,3.0,3.0,16.0,5.0,0,1,720.0,0.061589,1,0.03448,0.0254145,0.073802,249100.0,1,72287.0,10,1,1,0,0
1.06,0.95,1.01,4.25,4.0,4.0,15.0,17.5,0,1,4424.0,0.0334823,1,0.0591327,0.0835001,0.1151341,148000.0,2,44515.0,18,1,1,0,0
1.17,0.95,0.95,4.65,3.0,2.0,16.0,22.5,0,1,2678.0,0.0310296,1,0.0186773,0.0292349,0.0501854,212700.0,1,62056.0,10,1,1,0,0
1.17,1.02,1.06,4.5,3.0,5.0,17.0,18.5,1,3,6405.0,0.0419001,1,0.004906,0.0337599,0.0827105,198800.0,1,53655.0,24,1,0,0,1
1.18,1.02,1.06,,4.0,4.0,17.0,17.0,0,1,18388.0,0.0945454,1,0.9210559,0.2036816,0.391949,103800.0,5,31314.0,10,1,1,0,0
1.17,1.12,1.02,4.25,3.0,5.0,18.0,27.0,1,3,18388.0,0.0945454,1,0.9210559,0.2036816,0.391949,103800.0,5,31314.0,10,1,0,0,1
1.06,1.02,2.34,4.75,3.0,5.0,12.0,11.0,1,2,18388.0,0.0945454,1,0.9210559,0.2036816,0.391949,103800.0,5,31314.0,10,1,0,1,0
1.06,1.05,1.06,4.5,4.0,2.0,15.5,20.0,0,4,18388.0,0.0945454,1,0.9210559,0.2036816,0.391949,103800.0,5,31314.0,10,1,0,0,0
1.05,0.95,2.74,4.25,3.0,5.0,13.5,17.0,0,2,11401.0,0.14823,1,0.9210559,0.2036816,0.391949,103800.0,5,31314.0,10,1,0,1,0
1.17,1.06,1.17,4.35,4.0,,15.0,7.5,1,1,12627.0,0.0304465,1,0.0139109,0.0845399,0.2272727,191300.0,1,38569.0,2,1,1,0,0
1.15,0.95,0.95,4.5,2.0,2.0,16.0,8.0,0,1,12799.0,0.0375348,1,0.0102124,0.0598162,0.1416858,282800.0,2,60657.0,2,1,1,0,0
1.27,1.17,1.1,5.0,4.0,4.0,16.5,20.0,0,1,12799.0,0.0375348,1,0.0102124,0.0598162,0.1416858,282800.0,2,60657.0,2,1,1,0,0
1.06,0.91,0.98,5.56,4.0,5.0,16.0,37.5,0,1,6039.0,0.031701,1,0.0060904,0.0386507,0.0757396,167700.0,2,47891.0,28,1,1,0,0
1.06,0.98,1.06,4.62,3.0,2.0,12.5,16.5,0,4,11187.0,0.0508752,1,0.0035406,0.1118771,0.2258587,138000.0,1,36705.0,12,1,0,0,0
1.06,0.91,0.98,4.25,5.0,4.0,16.0,24.0,0,1,3750.0,0.0607903,1,0.0104519,0.0608489,0.1745955,166500.0,1,43022.0,12,1,1,0,0
1.2,1.02,1.02,5.5,3.0,5.0,13.5,19.0,0,3,1901.0,0.034011,1,0.0073866,0.0135908,0.0190736,245400.0,3,79025.0,10,1,0,0,1
0.95,0.95,1.06,4.5,3.0,4.0,13.5,23.0,0,1,1901.0,0.034011,1,0.0073866,0.0135908,0.0190736,245400.0,3,79025.0,10,1,1,0,0
1.11,0.95,1.01,4.25,4.0,2.0,16.0,17.5,0,1,5413.0,0.0518659,1,0.120063,0.0322987,0.0735369,198800.0,1,65296.0,10,1,1,0,0
1.02,1.02,0.95,,3.0,3.0,16.0,,0,1,6085.0,0.0554746,1,0.4336102,0.0765275,0.150848,245900.0,1,56893.0,10,1,1,0,0
1.06,0.98,1.06,5.0,3.0,,14.0,17.0,0,4,8966.0,0.0527327,1,0.022127,0.0927505,0.2365868,173500.0,3,40719.0,12,1,0,0,0
1.27,1.01,1.06,4.25,4.0,3.0,17.0,21.0,0,1,8966.0,0.0527327,1,0.022127,0.0927505,0.2365868,173500.0,3,40719.0,12,1,1,0,0
1.17,0.95,0.85,4.75,6.0,2.0,16.0,16.0,0,4,13602.0,0.1087385,1,0.6963651,0.1611239,0.2604226,119300.0,1,33306.0,10,1,0,0,0
1.18,1.02,1.06,5.1,3.0,6.0,17.0,32.5,1,3,3232.0,0.0463903,1,0.0557306,0.0403421,0.0751378,201600.0,2,59266.0,10,1,0,0,1
1.06,0.95,0.95,4.75,3.0,3.0,16.0,21.0,0,1,3232.0,0.0463903,1,0.0557306,0.0403421,0.0751378,201600.0,2,59266.0,10,1,1,0,0
1.17,0.95,1.02,5.12,4.0,3.0,15.0,42.5,0,1,1995.0,0.0288791,1,0.0323523,0.026696,0.0639248,218600.0,3,57424.0,21,1,1,0,0
