,LANG,TEXT
0,en,The #Yolo bailout: Greece's ex-finance chief hacked into its tax database to create a Plan B. http://t.co/PwbxBmBoD2 http://t.co/I9po5C6kpt
1,en,Another mental Saturday night. It will be nearly 12am by the time I finish my hot chocolate. #YOLO http://t.co/6KGZM0kJuc
2,en,Sometimes you take bedtime selfies w yer hat still on 💁🏼 #YOLO http://t.co/ta6uNN9OGJ
3,en,Currently just changed my entire outfit including bra while driving #yolo
4,en,I just like listening to @SpotifyAU's top 100 list 'cause it makes me feel down with the kids. Just chillin' with 'Breezy' yo. #yolo
5,en,"don't feel like watching #ToughEnough since @HulkHogan  is'nt a judge anymore, but i got nothing better to do. #YOLO"
6,en,"@CrankThatFrank so basically...
#YOLO"
7,en,"YEMEN IN BLOOD AND FIRE
https://t.co/vmpXbb8G4u #tiedye #instaddict #instachile #US #friend #Freetown #poser #yay #other #puppy #mama #yolo"
8,en,"@Braunger In good news, we built some truly FABULOUS low cost housing and I learned a lot of interesting sex positions.  #YOLO"
9,en,S W A G #withfilter #school #swag #cool #yolo #asian #ig #pacool… https://t.co/TY37S3GOfq
10,en,RT @CasperHedin: This lad is going to spend $5 on a lunch at Uni for the SECOND time this week. Fuck it. #Yolo #Richkidsontwitter
11,en,RT @PanicCompanion: Hope &amp; Help For Your Nerves http://t.co/J5XRIkW1rs The book that helped so many with panic! #forsale #onsale #bargains …
12,en,I show up early more often for baseball games than for work #priorities #oops #yolo
13,en,Watching 30 Rock instead of getting ready for Uni #yolo
14,en,I used #yolo in a tweet. What is this 2012??😂
15,en,Anyone that says FroYo gets shot! #yolo  https://t.co/1akawgkbnm
16,en,Fucking quitters #yolo  https://t.co/vm9asL2bwZ
17,en,Just got this email... #yolo #dontstopliving #phuckcancer https://t.co/vWkGbB2LWV
18,en,@Sarahandsnicker And I'm an hour from home. #YOLO
19,en,RT @itskayladenise: my first time tryna put on eyeliner and uploading a cover... i was wingin both lmao ba dum tsss #yolo http://t.co/BqyWD…
20,en,@Gl0bbinG0blin @GoldenBlackHawk just do it it'll totally be worth it #yolo
21,en,"What #DeflateGate believers think is on Toms cell #4 ""good thing we deflated those balls or the @Colts might have beat us #YOLO #SWAG TB12"""
22,en,To Infinity &amp; Beyond  #Rodos #Lindos #Greece #vacation #yolo #selfie #summer #fun #happy #habibi https://t.co/fQkPdyI8rW
