Date,Open,High,Low,Close,Volume
16-Jan-17,150.05,150.70,147.75,148.40,79341
13-Jan-17,151.85,154.00,149.95,151.75,112464
12-Jan-17,154.05,154.30,148.85,150.70,173155
11-Jan-17,149.05,153.65,148.80,153.15,181285
10-Jan-17,148.05,149.85,146.60,148.10,137786
9-Jan-17,143.20,148.15,143.20,148.05,163025
6-Jan-17,142.60,143.25,141.85,142.60,36778
5-Jan-17,141.00,144.00,140.85,143.25,69801
4-Jan-17,143.85,144.75,140.25,142.05,116569
3-Jan-17,141.30,145.30,141.30,143.75,96699
2-Jan-17,136.75,141.55,136.30,140.90,59235
30-Dec-16,137.65,137.65,136.15,136.75,69726
29-Dec-16,139.75,140.00,137.70,137.95,77082
28-Dec-16,141.00,142.05,140.65,141.15,36553
27-Dec-16,141.65,143.30,141.35,141.40,18273
23-Dec-16,142.40,144.20,141.55,141.85,53063
22-Dec-16,144.10,144.70,143.15,143.80,91792
21-Dec-16,141.20,144.20,141.00,144.20,176337
20-Dec-16,139.05,141.80,139.00,140.90,145677
19-Dec-16,138.70,140.15,137.75,139.70,73815
16-Dec-16,137.70,140.40,137.45,139.65,121600
15-Dec-16,135.90,138.30,135.90,137.95,100117
14-Dec-16,135.70,137.50,135.45,136.80,89414
13-Dec-16,134.65,137.05,134.30,136.55,104396
12-Dec-16,133.55,135.00,132.30,134.60,96429
9-Dec-16,135.45,135.55,133.25,134.85,93825
8-Dec-16,133.70,136.90,133.55,136.30,145919
7-Dec-16,131.90,134.45,131.50,134.45,121867
6-Dec-16,130.85,130.95,129.25,130.80,47258
5-Dec-16,127.15,130.70,127.00,130.00,81542
2-Dec-16,127.50,128.05,126.00,127.55,82043
1-Dec-16,128.75,130.15,127.90,128.10,63143
30-Nov-16,129.95,130.50,129.15,129.20,109929
29-Nov-16,131.00,131.30,128.90,129.95,85911
28-Nov-16,131.50,132.55,130.40,130.90,58685
25-Nov-16,133.00,133.65,132.60,132.60,42838
24-Nov-16,132.75,133.70,131.90,133.25,88199
23-Nov-16,131.30,132.80,130.50,131.75,95136
22-Nov-16,130.50,131.65,130.15,130.20,60724
21-Nov-16,129.40,130.85,127.90,130.05,93676
18-Nov-16,130.30,131.65,128.05,128.05,78216
17-Nov-16,128.00,129.90,127.60,129.10,53957
16-Nov-16,129.55,131.90,128.20,128.20,97192
15-Nov-16,128.70,130.10,128.35,129.80,64681
14-Nov-16,129.40,131.50,128.10,129.10,63410
11-Nov-16,127.20,130.00,127.20,128.70,81052
10-Nov-16,127.20,128.20,125.95,126.90,141980
9-Nov-16,124.00,126.75,123.25,126.00,113974
8-Nov-16,128.00,128.50,125.85,127.40,64536
7-Nov-16,127.40,128.95,126.85,127.60,72283
4-Nov-16,127.80,128.20,126.10,127.55,68776
3-Nov-16,129.40,129.70,127.70,128.05,67758
2-Nov-16,133.00,133.00,129.15,129.20,109697
1-Nov-16,136.40,136.75,133.30,133.55,56974
31-Oct-16,135.40,136.25,135.15,136.00,70972
28-Oct-16,134.55,135.75,133.90,135.65,49018
27-Oct-16,135.35,136.25,133.50,135.55,69012
26-Oct-16,134.50,134.50,131.60,134.45,78772
25-Oct-16,135.05,136.20,134.35,134.80,59150
24-Oct-16,134.15,135.90,134.00,135.15,51876
21-Oct-16,133.45,134.75,133.35,133.90,46705
20-Oct-16,132.50,134.90,132.50,134.25,71741
19-Oct-16,131.50,132.85,131.35,132.10,35962
18-Oct-16,131.00,131.95,130.00,131.50,59038
17-Oct-16,130.95,132.00,130.00,130.70,51476
14-Oct-16,131.25,132.70,130.35,131.90,59448
13-Oct-16,131.00,131.10,129.30,130.55,73864
12-Oct-16,132.65,133.05,131.35,132.05,35416
11-Oct-16,133.00,134.25,132.10,132.50,73911
10-Oct-16,131.35,133.30,130.65,133.30,54316
7-Oct-16,131.85,131.85,129.75,130.90,70782
6-Oct-16,132.20,132.90,131.60,131.90,46444
5-Oct-16,129.50,132.40,129.00,131.95,69972
4-Oct-16,128.00,131.70,127.65,130.60,119918
30-Sep-16,125.85,129.15,123.65,129.15,110331
29-Sep-16,127.80,129.10,126.15,126.50,47852
28-Sep-16,124.50,126.95,124.50,126.35,51407
27-Sep-16,127.80,127.85,122.55,123.95,159139
26-Sep-16,128.60,129.00,126.25,126.60,82209
23-Sep-16,130.10,130.95,129.00,129.05,65406
22-Sep-16,129.20,131.45,129.20,130.45,62972
21-Sep-16,128.65,129.85,127.65,128.30,58729
20-Sep-16,128.75,129.80,127.60,127.60,70867
19-Sep-16,128.60,129.35,127.70,128.75,55302
16-Sep-16,129.40,130.30,126.85,126.85,107563
15-Sep-16,129.10,130.90,128.60,130.05,46143
14-Sep-16,130.50,131.50,128.75,129.80,43946
13-Sep-16,131.00,132.10,130.00,130.30,58470
12-Sep-16,129.70,130.90,128.40,130.85,60719
9-Sep-16,131.15,133.55,130.80,131.70,66249
8-Sep-16,133.05,133.90,130.70,132.15,65405
7-Sep-16,132.30,133.85,131.50,133.40,58118
6-Sep-16,132.00,133.05,130.90,131.35,41623
5-Sep-16,131.20,132.55,130.25,131.50,43436
2-Sep-16,130.50,131.80,127.70,131.80,78462
1-Sep-16,131.20,133.00,129.05,129.70,68290
31-Aug-16,131.00,132.30,130.45,130.45,73856
30-Aug-16,129.70,131.60,128.90,130.85,40521
29-Aug-16,130.00,130.95,127.80,128.40,35575
26-Aug-16,127.70,130.75,127.70,130.35,66513
25-Aug-16,129.00,129.00,126.95,127.55,49126
24-Aug-16,130.40,130.85,128.90,129.65,40496
23-Aug-16,129.00,131.00,128.00,129.95,62852
22-Aug-16,127.00,130.10,126.65,127.65,46252
19-Aug-16,128.40,128.40,126.75,127.90,44800
18-Aug-16,129.90,129.90,127.55,128.70,40232
17-Aug-16,131.10,131.35,128.35,128.40,38533
16-Aug-16,133.00,133.50,130.55,130.55,52021
15-Aug-16,132.70,134.75,132.55,133.90,33351
12-Aug-16,134.45,134.45,131.70,132.50,56553
11-Aug-16,134.05,134.90,133.10,134.60,51642
10-Aug-16,132.75,134.60,132.45,133.55,74867
9-Aug-16,130.70,133.85,130.25,133.85,47665
8-Aug-16,131.85,133.45,130.45,131.15,46283
5-Aug-16,128.75,131.95,128.75,131.55,48744
4-Aug-16,128.40,131.05,127.85,128.70,53873
3-Aug-16,126.00,127.50,124.35,126.55,72708
2-Aug-16,131.90,132.20,126.85,127.15,59149
1-Aug-16,134.00,134.65,131.15,132.00,52354
29-Jul-16,131.40,132.85,131.25,132.65,73042
28-Jul-16,136.70,136.70,130.90,130.90,76583
